review_id,source,vader_compound,vader_pos,vader_neu,vader_neg,tb_label,tb_prob_pos,tb_prob_neg
1,apple_store,0.4215,0.259,0.741,0.0,pos,0.5517210514598779,0.4482789485401208
2,apple_store,0.0772,0.302,0.698,0.0,pos,0.5652625131209762,0.434737486879024
3,apple_store,0.0,0.0,1.0,0.0,pos,0.7507743742512512,0.24922562574874887
4,apple_store,0.9493,0.47,0.494,0.036,pos,0.5907263525916646,0.40927364740833505
5,apple_store,0.1531,0.3,0.455,0.245,neg,0.1725413191916868,0.8274586808083122
6,apple_store,0.7184,0.247,0.646,0.107,pos,0.8501823564321316,0.14981764356786922
7,apple_store,0.0,0.0,1.0,0.0,pos,0.5,0.5
8,apple_store,0.4939,0.244,0.667,0.089,neg,0.13246991676110895,0.8675300832388896
9,apple_store,0.5356,0.1,0.831,0.069,neg,0.0115301604885435,0.9884698395114363
10,apple_store,0.6705,0.607,0.171,0.222,pos,0.5752644309266679,0.4247355690733321
11,apple_store,0.6369,0.722,0.278,0.0,pos,0.50336340009173,0.49663659990827064
12,apple_store,0.9246,0.371,0.514,0.115,pos,0.825632710537643,0.1743672894623529
13,apple_store,0.8555,0.808,0.192,0.0,pos,0.6698352361942299,0.3301647638057702
14,apple_store,0.9864,0.371,0.585,0.044,pos,0.5593756666905362,0.4406243333094693
15,apple_store,0.9691,0.214,0.655,0.131,pos,0.9996798824821838,0.0003201175177920475
16,apple_store,0.7184,0.292,0.708,0.0,pos,0.7439179196380565,0.25608208036194435
17,apple_store,-0.2263,0.137,0.632,0.232,neg,0.21440175013711046,0.7855982498628895
18,apple_store,0.8316,0.524,0.476,0.0,pos,0.7609379907483105,0.23906200925168966
19,apple_store,0.9081,0.265,0.735,0.0,pos,0.9326433458647962,0.0673566541352014
20,apple_store,0.0,0.0,1.0,0.0,pos,0.868523019852293,0.13147698014770623
21,apple_store,0.9643,0.27,0.698,0.032,pos,0.983317143457094,0.016682856542919344
22,apple_store,0.921,0.767,0.233,0.0,pos,0.9164205401735418,0.0835794598264575
23,apple_store,0.3612,0.128,0.872,0.0,pos,0.543276789840903,0.45672321015909706
24,apple_store,0.0,0.0,1.0,0.0,pos,0.5880681818181818,0.4119318181818174
25,apple_store,0.4404,0.34,0.515,0.144,neg,0.44529081385102826,0.5547091861489724
26,apple_store,0.3612,0.263,0.737,0.0,pos,0.6116846381136738,0.38831536188632565
27,apple_store,0.9531,0.31,0.603,0.086,pos,0.7969744282626677,0.20302557173733246
28,apple_store,0.0,0.0,1.0,0.0,pos,0.5592948717948717,0.44070512820512814
29,apple_store,0.6705,0.524,0.476,0.0,neg,0.36983739545322747,0.6301626045467735
30,apple_store,-0.7096,0.0,0.651,0.349,pos,0.9165900468167297,0.08340995318326776
31,apple_store,0.5719,0.243,0.653,0.104,neg,0.18145583887427233,0.8185441611257274
32,apple_store,0.34,0.324,0.676,0.0,pos,0.5615931438177865,0.4384068561822138
33,apple_store,-0.3818,0.226,0.435,0.339,neg,0.25977231916958965,0.7402276808304088
34,apple_store,0.7845,0.612,0.388,0.0,pos,0.8479913080025386,0.15200869199746211
35,apple_store,0.9254,0.49,0.51,0.0,pos,0.9478305333686381,0.05216946663136329
36,apple_store,-0.296,0.0,0.833,0.167,neg,0.2853913544814782,0.7146086455185194
37,apple_store,-0.6124,0.227,0.234,0.539,neg,0.2621200829326031,0.7378799170673971
38,apple_store,0.9081,0.306,0.694,0.0,pos,0.7089565532318249,0.2910434467681821
39,apple_store,0.0,0.0,1.0,0.0,neg,0.4568965517241382,0.5431034482758623
40,apple_store,0.6249,0.506,0.494,0.0,pos,0.6211278887874941,0.378872111212506
41,apple_store,0.8225,0.657,0.169,0.174,pos,0.9356277270633635,0.06437227293663454
